Date,Open,High,Low,Close,Adj Close,Volume
2004-01-01,2.140600,2.173500,2.117300,2.143200,2.143200,0
2004-01-08,2.143000,2.180300,2.117300,2.154800,2.154800,0
2004-01-15,2.141900,2.158900,2.068800,2.147300,2.147300,0
2004-01-22,2.147500,2.161200,2.106800,2.110600,2.110600,0
2004-01-29,2.110800,2.128400,2.095800,2.124400,2.124400,0
2004-02-05,2.123100,2.150200,2.116800,2.138500,2.138500,0
2004-02-12,2.138800,2.160600,2.127400,2.136400,2.136400,0
2004-02-19,2.136600,2.151900,2.109800,2.117000,2.117000,0
2004-02-26,2.116500,2.129100,2.066500,2.084800,2.084800,0
2004-03-04,2.085100,2.123800,2.075600,2.093900,2.093900,0
2004-03-11,2.093700,2.116800,2.068000,2.076200,2.076200,0
2004-03-18,2.076000,2.098700,2.047900,2.054200,2.054200,0
2004-03-25,2.054000,2.062600,2.036600,2.062400,2.062400,0
2004-04-01,2.062400,2.069800,2.011900,2.036700,2.036700,0
2004-04-08,2.036300,2.045300,1.986200,2.003300,2.003300,0
2004-04-15,2.003100,2.026400,1.989600,1.997800,1.997800,0
2004-04-22,1.994400,2.026300,1.994000,2.011200,2.011200,0
2004-04-29,2.011200,2.057600,2.006700,2.048800,2.048800,0
2004-05-06,2.048600,2.053000,2.015000,2.047800,2.047800,0
2004-05-13,2.047300,2.079100,2.032500,2.059000,2.059000,0
2004-05-20,2.059400,2.080200,2.045800,2.073900,2.073900,0
2004-05-27,2.073800,2.096800,2.039200,2.086600,2.086600,0
2004-06-03,2.081800,2.108200,2.061000,2.063600,2.063600,0
2004-06-10,2.063800,2.082800,2.052400,2.062500,2.062500,0
2004-06-17,2.062400,2.090900,2.057000,2.075900,2.075900,0
2004-06-24,2.075700,2.097700,2.065900,2.092000,2.092000,0
2004-07-01,2.092000,2.116000,2.081000,2.110600,2.110600,0
2004-07-08,2.110500,2.116000,2.093300,2.107800,2.107800,0
2004-07-15,2.111400,2.119000,2.093900,2.096300,2.096300,0
2004-07-22,2.103800,2.107600,2.069800,2.081100,2.081100,0
2004-07-29,2.080900,2.084700,2.061000,2.075800,2.075800,0
2004-08-05,2.075800,2.116100,2.069400,2.091500,2.091500,0
2004-08-12,2.091300,2.123400,2.089400,2.112000,2.112000,0
2004-08-19,2.112000,2.118300,2.063000,2.067300,2.067300,0
2004-08-26,2.066600,2.084900,2.053500,2.076900,2.076900,0
2004-09-02,2.077900,2.078400,2.018900,2.066800,2.066800,0
2004-09-09,2.067400,2.089500,2.028000,2.055800,2.055800,0
2004-09-16,2.055900,2.083800,2.024400,2.077600,2.077600,0
2004-09-23,2.078000,2.092100,2.045300,2.061500,2.061500,0
2004-09-30,2.061500,2.095400,2.042200,2.075000,2.075000,0
2004-10-07,2.074500,2.088700,2.039100,2.078500,2.078500,0
2004-10-14,2.078300,2.111700,2.052800,2.079400,2.079400,0
2004-10-21,2.079000,2.132800,2.078200,2.116000,2.116000,0
2004-10-28,2.092100,2.136100,2.086600,2.110400,2.110400,0
2004-11-04,2.133800,2.145900,2.100900,2.135500,2.135500,0
2004-11-11,2.135200,2.150200,2.105400,2.145500,2.145500,0
2004-11-18,2.145900,2.164200,2.113000,2.162200,2.162200,0
2004-11-25,2.162300,2.182500,2.135700,2.176700,2.176700,0
2004-12-02,2.152500,2.201800,2.145500,2.195800,2.195800,0
2004-12-09,2.195400,2.202900,2.159100,2.196700,2.196700,0
2004-12-16,2.196400,2.204900,2.148700,2.194900,2.194900,0
2004-12-23,2.195100,2.233800,2.168900,2.229400,2.229400,0
2004-12-30,2.229400,2.235400,2.155500,2.183300,2.183300,0
2005-01-06,2.183300,2.188100,2.121500,2.165600,2.165600,0
2005-01-13,2.165300,2.167000,2.116900,2.122100,2.122100,0
2005-01-20,2.126100,2.138200,2.113900,2.134100,2.134100,0
2005-01-27,2.133800,2.143900,2.123300,2.131700,2.131700,0
2005-02-03,2.131900,2.134500,2.091000,2.109300,2.109300,0
2005-02-10,2.109000,2.140500,2.107900,2.140600,2.140600,0
2005-02-17,2.140400,2.159500,2.131300,2.149400,2.149400,0
2005-02-24,2.149000,2.161600,2.129600,2.135900,2.135900,0
2005-03-03,2.135600,2.171900,2.131200,2.165800,2.165800,0
2005-03-10,2.165800,2.181000,2.157500,2.172600,2.172600,0
2005-03-17,2.173000,2.177100,2.128700,2.132500,2.132500,0
2005-03-24,2.132600,2.143400,2.122900,2.131300,2.131300,0
2005-03-31,2.131300,2.156200,2.127300,2.136300,2.136300,0
2005-04-07,2.136300,2.143700,2.115100,2.121400,2.121400,0
2005-04-14,2.121400,2.156700,2.092300,2.129600,2.129600,0
2005-04-21,2.153600,2.160900,2.102300,2.126500,2.126500,0
2005-04-28,2.127200,2.131200,2.078300,2.116200,2.116200,0
2005-05-05,2.115900,2.124600,2.077300,2.109400,2.109400,0
2005-05-12,2.085000,2.110100,2.057800,2.092500,2.092500,0
2005-05-19,2.092300,2.099100,2.053400,2.085600,2.085600,0
2005-05-26,2.085300,2.092900,2.016600,2.046000,2.046000,0
2005-06-02,2.022000,2.055100,2.006100,2.034100,2.034100,0
2005-06-09,2.034100,2.040400,1.991900,2.027100,2.027100,0
2005-06-16,2.027500,2.050300,1.994200,2.026000,2.026000,0
2005-06-23,2.026000,2.041800,1.985300,2.036400,2.036400,0
2005-06-30,2.010400,2.042700,1.989300,2.023600,2.023600,0
2005-07-07,2.023100,2.064600,1.999700,2.044200,2.044200,0
2005-07-14,2.043900,2.049900,1.997600,2.047000,2.047000,0
2005-07-21,2.046800,2.051000,1.973300,2.007400,2.007400,0
2005-07-28,2.007600,2.038100,1.978000,2.036600,2.036600,0
2005-08-04,2.037000,2.083700,2.005000,2.037900,2.037900,0
2005-08-11,2.038100,2.520000,2.012800,2.040400,2.040400,0
2005-08-18,2.040000,2.052900,2.001200,2.049200,2.049200,0
2005-08-25,2.048900,2.078200,2.027500,2.074100,2.074100,0
2005-09-01,2.074000,2.104900,2.050200,2.082500,2.082500,0
2005-09-08,2.082100,2.087300,2.033300,2.060800,2.060800,0
2005-09-15,2.060300,2.065100,2.013000,2.038900,2.038900,0
2005-09-22,2.046000,2.058600,2.001800,2.039200,2.039200,0
2005-09-29,2.038600,2.039700,1.992200,2.008300,2.008300,0
2005-10-06,2.031900,2.051700,1.998400,2.032500,2.032500,0
2005-10-13,2.032100,2.046100,1.991800,2.026600,2.026600,0
2005-10-20,2.026400,2.047600,1.999000,2.040900,2.040900,0
2005-10-27,2.040600,2.053700,2.004600,2.043500,2.043500,0
2005-11-03,2.043400,2.047900,1.970200,2.003500,2.003500,0
2005-11-10,2.003500,2.004800,1.961500,1.986700,1.986700,0
2005-11-17,1.987100,2.008200,1.958000,1.996800,1.996800,0
2005-11-24,1.997000,2.008600,1.957000,1.994900,1.994900,0
2005-12-01,1.994100,1.994100,1.948300,1.973500,1.973500,0
2005-12-08,1.973700,2.013600,1.948500,1.998000,1.998000,0
2005-12-15,1.999000,2.006800,1.945600,1.975100,1.975100,0
2005-12-22,1.975100,1.986200,1.944800,1.973100,1.973100,0
2005-12-29,1.973200,1.995800,1.935400,1.992300,1.992300,0
2006-01-05,1.992400,1.997300,1.944000,1.976800,1.976800,0
2006-01-12,1.976100,1.982400,1.928600,1.972900,1.972900,0
2006-01-19,1.972800,1.996100,1.936000,1.987600,1.987600,0
2006-01-26,1.987600,1.990900,1.939100,1.965900,1.965900,0
2006-02-02,1.966100,1.976000,1.921200,1.951900,1.951900,0
2006-02-09,1.951900,1.962100,1.909300,1.935400,1.935400,0
2006-02-16,1.935500,1.951900,1.911000,1.941700,1.941700,0
2006-02-23,1.941200,1.942400,1.896000,1.928300,1.928300,0
2006-03-02,1.904700,1.960200,1.904600,1.944700,1.944700,0
2006-03-09,1.945100,1.953500,1.909700,1.953400,1.953400,0
2006-03-16,1.953500,1.972800,1.925000,1.952100,1.952100,0
2006-03-23,1.952300,1.957100,1.912500,1.950300,1.950300,0
2006-03-30,1.950400,1.976800,1.923200,1.972800,1.972800,0
2006-04-06,1.972900,1.977000,1.920400,1.952700,1.952700,0
2006-04-13,1.952900,1.978900,1.941000,1.977600,1.977600,0
2006-04-20,1.977600,1.979400,1.936700,1.977500,1.977500,0
